-9.188287473471455913e-01 -2.448265807174481878e+01 -1.896921850774758056e+01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.377345061553276184e-01 -6.696435447066470203e+00 -1.830910198504475872e+01
-4.963551632631666877e+00 2.416516350382489620e+01 -6.174770825643984828e+00
1.779457798560182546e-01 7.174837618362873926e+00 3.002767429341628880e+00
4.101952484141487276e-01 1.699018615618567907e+01 1.428590533439654253e+00
1.349847819073830557e+00 4.100862431425921528e+01 -1.341953937436091948e+01
-4.605617061001069601e+01 4.489574936277644923e+01 -3.943442058162233366e+01
1.903489320743964930e+00 5.813425683518576648e+01 -1.544536940078941001e+01
2.175586382181164069e+00 6.747366018539636912e+01 -1.261165035127497269e+01
2.912107987245670770e+00 1.018378455355215522e+02 -1.519051819307860107e+01
-1.033734757169066709e+00 -2.810323686981027436e+01 -2.022176669402496429e+01
-1.077046328350469873e+00 -3.070206371352104924e+01 -2.292938833945200372e+01
-1.035474693567960625e+00 -3.167057034914371272e+01 -2.625888415961975042e+01
-9.864172227298702023e-01 -3.336455921934552293e+01 -2.728593940705658483e+01
-1.045179513594716170e+00 -3.676636044710264173e+01 -2.664062823866222374e+01
-1.159559818308897539e+00 -4.095186154291648251e+01 -2.613840654643513162e+01
-1.152178146467537800e+00 -4.506884828634893836e+01 -2.823886178167897754e+01
-9.464030811359133155e-01 -5.058448785190887520e+01 -3.668992419535090477e+01
-2.190455519500349446e-01 -3.424456870983460632e+00 -3.835185907980204867e+00
-5.902321322882412957e+00 -2.496348208733904173e+00 -1.332979899562034021e+01
-6.933626871421655835e+01 7.240119623180562769e+01 -6.662445690847718538e+01
-2.671580746486847957e+01 3.887682144136795159e+01 -3.305457284700901965e+01
-3.322398457562860585e+01 3.818655900193809316e+01 -3.361095795400214570e+01
-3.959831668338965471e+01 3.830105237153853182e+01 -3.549570965475432871e+01
-4.831020467788418671e+01 4.225632671049715583e+01 -4.078205019534329523e+01
-2.132128455684256707e+01 4.067874522959582606e+01 -3.361165335607001481e+01
-3.574363259074608834e+01 5.494953264235955004e+01 -2.885743359693503507e+01
-2.871848165032324829e+01 5.461865383337013213e+01 -2.883678311858018617e+01
-4.217998190958650895e+01 5.399332098343794684e+01 -3.121893954430144902e+01
-4.660757091836000399e+01 5.192814790610670883e+01 -3.421422162145030654e+01
-5.318180697876364604e+01 3.755654074545834931e+01 -4.456301027076720089e+01
-2.539046919557674187e+01 -5.950910707358023899e+01 -4.618427218951777746e+01
-4.856735241609450071e+01 4.662010218434526365e+01 -4.134854008408485271e+01
-7.167852949238142912e+01 4.241668564725642199e+01 -7.372829296834387947e+01
-6.045323421615888293e+01 4.250653468679512770e+01 -5.068563979043754841e+01
-3.168138213546403392e+01 7.889727249768936801e+00 -3.123323020197915412e+01
-8.458512898929752666e+00 -2.300525419278526584e+01 -1.987550570172279052e+01
-7.266028828629321978e+00 -3.035748623277140723e+01 -2.388908321135616575e+01
-1.618239960427506929e+01 -2.485068410008717521e+01 -2.412004964521016248e+01
-2.091538717612242593e+01 -2.743625199776355572e+01 -2.903523614790479712e+01
-1.278404449614140148e+01 -3.043035220103773142e+01 -2.635491690739990034e+01
